"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2026.06.25	15:20:00	5294.729	5298.229	5293.729	5295.229	3115	15347	1"
"2026.06.25	15:25:00	5294.729	5297.229	5293.729	5296.229	2424	15677	1"
"2026.06.25	15:30:00	5296.229	5300.229	5296.229	5300.229	2532	13320	1"
"2026.06.25	15:35:00	5300.229	5304.229	5299.229	5301.229	5366	24984	1"
"2026.06.25	15:40:00	5301.229	5303.229	5299.729	5301.229	2586	10696	1"
"2026.06.25	15:45:00	5300.729	5302.229	5298.229	5298.729	3175	14539	1"
"2026.06.25	15:50:00	5298.729	5299.729	5296.229	5297.729	2882	18311	1"
"2026.06.25	15:55:00	5297.229	5298.729	5296.229	5298.229	3565	12953	1"
"2026.06.25	16:00:00	5298.229	5300.229	5297.729	5299.229	1605	6425	1"
"2026.06.25	16:05:00	5298.729	5299.229	5297.229	5297.229	1174	3708	1"
"2026.06.25	16:10:00	5297.229	5297.729	5295.229	5296.229	3005	13010	1"
"2026.06.25	16:15:00	5296.229	5297.729	5293.729	5296.729	3341	14423	1"
"2026.06.25	16:20:00	5296.729	5297.229	5293.229	5293.229	2981	13507	1"
"2026.06.25	16:25:00	5293.229	5294.229	5292.229	5294.229	1863	7331	1"
"2026.06.25	16:30:00	5294.229	5297.729	5294.229	5296.229	2351	11731	1"
"2026.06.25	16:35:00	5295.729	5299.229	5295.229	5298.729	2691	16167	1"
"2026.06.25	16:40:00	5298.229	5300.229	5296.229	5299.729	3104	11903	1"
"2026.06.25	16:45:00	5299.729	5300.729	5298.729	5300.229	1935	5907	1"
"2026.06.25	16:50:00	5299.729	5301.229	5297.729	5298.729	2685	11647	1"
"2026.06.25	16:55:00	5298.729	5299.729	5297.229	5297.729	2641	11429	1"
"2026.06.25	17:00:00	5297.229	5297.729	5293.729	5296.229	3020	10962	1"
"2026.06.25	17:05:00	5295.729	5297.229	5295.229	5295.729	1685	7566	1"
"2026.06.25	17:10:00	5296.229	5297.229	5293.729	5294.729	1642	9531	1"
